NODE
1|2.237028|48.896840|
2|2.23475|48.89606|
3|2.23509|48.89567|
4|2.23649|48.89590|
5|2.23779|48.89463|
6|2.23768|48.89484|
7|2.237338|48.895195|
8|2.237622|48.895351|
9|2.237277|48.895853|
10|2.236851|48.895685|
11|2.237546|48.894446|
12|2.236733|48.894565|
13|2.236179|48.893728|
14|2.235602|48.894588|
15|2.235989|48.894770|
16|2.238582|48.893864|
17|2.238410|48.893637|
18|2.237614|48.893265|
19|2.237006|48.892787|
20|2.235798|48.893239|
21|2.235397|48.893331|
22|2.234641|48.892317|
23|2.233936|48.892557|
24|2.232288|48.892255|
25|2.233732|48.892967|
26|2.232546|48.893349|
27|2.230806|48.893988|
28|2.229100|48.894608|
29|2.228636|48.894665|
30|2.227774|48.894512|
ROAD
